dataset,framework,few_shot,f1,precision,recall,accuracy
DeepPavlov/hwu64,AutoGluon,128,0.8968307203357082,0.8971321168363324,0.9047743055555556,0.8996282527881041
DeepPavlov/hwu64,AutoGluon,16,0.7172162891277607,0.7236141545235205,0.7364904021873593,0.7286245353159851
DeepPavlov/hwu64,AutoGluon,32,0.848884653481861,0.8480978865327522,0.8623661768604203,0.8559479553903345
DeepPavlov/hwu64,AutoGluon,4,0.0897051027037324,0.1285665980762174,0.1093984962406015,0.1198884758364312
DeepPavlov/hwu64,AutoGluon,64,0.8854882734685363,0.8844878502023432,0.8968553946966776,0.8894052044609665
DeepPavlov/hwu64,AutoGluon,8,0.3480449771803041,0.3945668148676773,0.375711671825981,0.3680297397769517
DeepPavlov/hwu64,AutoIntent,128,0.8771570687815715,0.8799989622291791,0.8820570054945055,0.8763940520446096
DeepPavlov/hwu64,AutoIntent,16,0.8368940172986872,0.8374466762382784,0.8507211538461539,0.8410780669144982
DeepPavlov/hwu64,AutoIntent,32,0.8603244702945324,0.8617657314385299,0.8652385922739542,0.8615241635687733
DeepPavlov/hwu64,AutoIntent,4,0.7495079868617975,0.76493008063014,0.7665798109054688,0.7592936802973977
DeepPavlov/hwu64,AutoIntent,64,0.878293627217333,0.8802052391757065,0.8838087807660175,0.8801115241635687
DeepPavlov/hwu64,AutoIntent,8,0.8087417898185821,0.8139845619208825,0.8243763204083928,0.8150557620817844
DeepPavlov/hwu64,AutoIntent,full,0.8799036315511821,0.8823209095068374,0.8846311491870702,0.8810408921933085
DeepPavlov/hwu64,H2O,128,0.7413272084871158,0.7509648527284754,0.7488034010032366,0.7490706319702602
DeepPavlov/hwu64,H2O,16,0.278064187578883,0.2835743989417774,0.2997540973281105,0.2843866171003718
DeepPavlov/hwu64,H2O,32,0.485291815127494,0.5065673785945168,0.4975339752991891,0.4888475836431227
DeepPavlov/hwu64,H2O,4,0.1127968435145707,0.1333655073966188,0.1223274760692524,0.120817843866171
DeepPavlov/hwu64,H2O,64,0.655129574035114,0.6608832304934624,0.6655325360403486,0.6552044609665427
DeepPavlov/hwu64,H2O,8,0.12679634776647,0.1415589395988272,0.1390428319396247,0.137546468401487
DeepPavlov/hwu64,H2O,full,0.7629912479026988,0.7681440746246637,0.768755739417746,0.7732342007434945
DeepPavlov/minds14,AutoGluon,128,0.9297643606577708,0.9448644609358896,0.9285714285714286,0.9351851851851852
DeepPavlov/minds14,AutoGluon,16,0.7039787709955778,0.7582439386010815,0.7103174603174603,0.7129629629629629
DeepPavlov/minds14,AutoGluon,32,0.9795739348370928,0.9839285714285716,0.979591836734694,0.9814814814814816
DeepPavlov/minds14,AutoGluon,4,0.0344989985384074,0.0302900107411385,0.0554138321995464,0.0555555555555555
DeepPavlov/minds14,AutoGluon,64,0.9297643606577708,0.9448644609358896,0.9285714285714286,0.9351851851851852
DeepPavlov/minds14,AutoGluon,8,0.3626845261938429,0.4965747702589808,0.38109410430839,0.3796296296296297
DeepPavlov/minds14,AutoIntent,128,0.9439775910364148,0.95734126984127,0.9502551020408164,0.9537037037037036
DeepPavlov/minds14,AutoIntent,16,0.9439775910364148,0.95734126984127,0.9502551020408164,0.9537037037037036
DeepPavlov/minds14,AutoIntent,32,0.9439775910364148,0.95734126984127,0.9502551020408164,0.9537037037037036
DeepPavlov/minds14,AutoIntent,4,0.931044690603514,0.9424603174603174,0.9366496598639455,0.9351851851851852
DeepPavlov/minds14,AutoIntent,64,0.9439775910364148,0.95734126984127,0.9502551020408164,0.9537037037037036
DeepPavlov/minds14,AutoIntent,8,0.9481692327280564,0.95734126984127,0.9502551020408164,0.9537037037037036
DeepPavlov/minds14,AutoIntent,full,0.9439775910364148,0.95734126984127,0.9502551020408164,0.9537037037037036
DeepPavlov/minds14,H2O,128,0.7782246231826065,0.7955936920222635,0.7782029478458049,0.7777777777777778
DeepPavlov/minds14,H2O,16,0.5815696558343617,0.5904173207744636,0.5878684807256235,0.5925925925925926
DeepPavlov/minds14,H2O,32,0.786367360709466,0.8071660482374768,0.7848639455782312,0.7870370370370371
DeepPavlov/minds14,H2O,4,0.2741075481576029,0.2969954648526077,0.2739512471655329,0.2777777777777778
DeepPavlov/minds14,H2O,64,0.7763795543981303,0.8212533498247784,0.7733843537414966,0.7777777777777778
DeepPavlov/minds14,H2O,8,0.3078779149986581,0.2789459723283253,0.3628117913832199,0.3703703703703703
DeepPavlov/minds14,H2O,full,0.7593813123335458,0.7713306534735107,0.7660147392290249,0.7685185185185185
DeepPavlov/snips,AutoGluon,128,0.9749282626835948,0.9749728555186432,0.975,0.975
DeepPavlov/snips,AutoGluon,16,0.7844376566302235,0.7952566202302166,0.7849999999999999,0.785
DeepPavlov/snips,AutoGluon,32,0.9187467189759104,0.9206715014735244,0.9185714285714288,0.9185714285714286
DeepPavlov/snips,AutoGluon,4,0.2127487997446628,0.2282511863815806,0.2621428571428571,0.2621428571428571
DeepPavlov/snips,AutoGluon,64,0.9612017728894096,0.9616093361678368,0.9614285714285714,0.9614285714285714
DeepPavlov/snips,AutoGluon,8,0.1770870037179497,0.2529730100606919,0.23,0.23
DeepPavlov/snips,AutoIntent,128,0.9599223540032042,0.9606903665691676,0.96,0.96
DeepPavlov/snips,AutoIntent,16,0.9384148498040226,0.9394111190644252,0.9385714285714286,0.9385714285714286
DeepPavlov/snips,AutoIntent,32,0.9448436652864796,0.946112185890826,0.945,0.945
DeepPavlov/snips,AutoIntent,4,0.8111747887318792,0.8264681129750749,0.8142857142857143,0.8142857142857143
DeepPavlov/snips,AutoIntent,64,0.9514405414932304,0.9517660473101932,0.9514285714285714,0.9514285714285714
DeepPavlov/snips,AutoIntent,8,0.8936988276560107,0.9005501437358223,0.8985714285714286,0.8985714285714286
DeepPavlov/snips,AutoIntent,full,0.9735227080925816,0.9736163875436876,0.9735714285714284,0.9735714285714284
DeepPavlov/snips,H2O,128,0.9451177203370184,0.9457753121342276,0.945,0.945
DeepPavlov/snips,H2O,16,0.7305406323393246,0.7393956042442937,0.7285714285714286,0.7285714285714285
DeepPavlov/snips,H2O,32,0.8416494638237122,0.848443190969407,0.8392857142857143,0.8392857142857143
DeepPavlov/snips,H2O,4,0.2968495906382387,0.2622027576017352,0.3957142857142857,0.3957142857142857
DeepPavlov/snips,H2O,64,0.8731850816446034,0.8740199218354998,0.8735714285714286,0.8735714285714286
DeepPavlov/snips,H2O,8,0.5376463147798405,0.5569629641747449,0.5407142857142857,0.5407142857142857
DeepPavlov/snips,H2O,full,0.9836130342294188,0.983832969645394,0.9835714285714284,0.9835714285714284
